product_id,category,price
PROD1000,Clothing,1986.03
PROD1001,Home,2108.14
PROD1002,Sports,1666.73
PROD1003,Beauty,1363.94
PROD1004,Sports,1760.0
PROD1005,Beauty,900.54
PROD1006,Home,2076.92
PROD1007,Sports,4532.56
PROD1008,Sports,1199.69
PROD1009,Beauty,3453.81
PROD1010,Sports,794.74
PROD1011,Sports,1834.14
PROD1012,Home,1673.76
PROD1013,Beauty,4691.44
PROD1014,Beauty,2197.11
PROD1015,Electronics,3483.28
PROD1016,Beauty,3052.07
PROD1017,Home,791.05
PROD1018,Sports,4703.75
PROD1019,Electronics,1794.76
PROD1020,Sports,319.32
PROD1021,Beauty,1572.17
PROD1022,Clothing,1744.61
PROD1023,Sports,554.45
PROD1024,Beauty,3137.89
PROD1025,Home,1799.14
PROD1026,Beauty,3182.76
PROD1027,Electronics,133.03
PROD1028,Clothing,4912.04
PROD1029,Clothing,935.53
PROD1030,Clothing,3330.72
PROD1031,Home,3607.34
PROD1032,Clothing,940.88
PROD1033,Sports,647.39
PROD1034,Home,847.63
PROD1035,Beauty,1309.41
PROD1036,Electronics,924.34
PROD1037,Home,3402.6
PROD1038,Electronics,2162.08
PROD1039,Home,2735.18
PROD1040,Beauty,331.95
PROD1041,Electronics,4320.12
PROD1042,Home,935.8
PROD1043,Electronics,1864.75
PROD1044,Clothing,452.32
PROD1045,Clothing,770.29
PROD1046,Clothing,3362.42
PROD1047,Sports,3493.68
PROD1048,Clothing,3417.13
PROD1049,Clothing,2805.47
PROD1050,Beauty,4767.36
PROD1051,Electronics,2585.17
PROD1052,Electronics,2302.12
PROD1053,Clothing,1312.97
PROD1054,Electronics,584.36
PROD1055,Home,2785.96
PROD1056,Clothing,1642.96
PROD1057,Clothing,2667.72
PROD1058,Sports,1109.98
PROD1059,Home,4207.05
PROD1060,Clothing,4998.52
PROD1061,Clothing,1679.78
PROD1062,Electronics,4227.41
PROD1063,Clothing,4377.63
PROD1064,Clothing,4980.76
PROD1065,Clothing,1779.33
PROD1066,Clothing,3804.6
