customer_id,age,gender,city,region,signup_date
CUST100000,56,Other,Pune,South,2021-10-23
CUST100001,46,Male,Kolkata,West,2023-09-09
CUST100002,32,Female,Mumbai,East,2023-11-23
CUST100003,60,Female,Mumbai,West,2023-07-29
CUST100004,25,Male,Pune,South,2020-07-09
CUST100005,38,Female,Bangalore,North,2022-02-24
CUST100006,56,Other,Chennai,South,2021-08-07
CUST100007,36,Other,Pune,West,2022-08-16
CUST100008,40,Female,Hyderabad,South,2021-05-14
CUST100009,28,Other,Chennai,West,2021-08-02
CUST100010,28,Other,Pune,South,2022-03-26
CUST100011,41,Male,Mumbai,North,2023-12-28
CUST100012,53,Other,Chennai,West,2022-12-22
CUST100013,57,Male,Bangalore,East,2024-01-16
CUST100014,41,Female,Bangalore,East,2024-01-05
CUST100015,20,Male,Kolkata,East,2023-08-23
CUST100016,39,Female,Chennai,East,2022-02-18
CUST100017,19,Female,Kolkata,West,2022-07-31
CUST100018,41,Female,Hyderabad,West,2023-02-23
CUST100019,61,Female,Pune,North,2020-09-21
CUST100020,47,Female,Delhi,South,2020-01-07
CUST100021,55,Male,Hyderabad,West,2023-12-07
CUST100022,19,Female,Bangalore,East,2023-05-14
CUST100023,38,Other,Mumbai,West,2023-04-17
CUST100024,50,Other,Bangalore,East,2024-01-31
CUST100025,29,Female,Delhi,North,2021-11-25
CUST100026,39,Other,Mumbai,South,2022-09-18
CUST100027,61,Male,Chennai,West,2024-01-06
CUST100028,42,Male,Chennai,South,2022-07-06
CUST100029,44,Female,Hyderabad,East,2023-06-05
CUST100030,59,Female,Bangalore,East,2022-01-17
CUST100031,45,Female,Mumbai,South,2020-05-25
CUST100032,33,Other,Pune,North,2023-08-12
CUST100033,32,Other,Mumbai,South,2020-08-28
CUST100034,64,Male,Kolkata,South,2022-05-06
CUST100035,61,Other,Delhi,West,2020-10-13
CUST100036,20,Male,Hyderabad,West,2022-08-09
CUST100037,54,Other,Chennai,East,2020-01-26
CUST100038,24,Male,Bangalore,West,2021-03-27
CUST100039,38,Female,Mumbai,North,2020-04-15
CUST100040,26,Other,Chennai,North,2020-08-27
CUST100041,56,Male,Bangalore,North,2023-12-12
CUST100042,35,Other,Chennai,East,2020-11-27
CUST100043,21,Female,Bangalore,North,2022-06-30
CUST100044,42,Male,Chennai,North,2022-12-01
CUST100045,31,Other,Pune,West,2021-10-06
CUST100046,26,Other,Kolkata,East,2020-02-04
CUST100047,43,Female,Delhi,South,2022-05-25
CUST100048,19,Female,Chennai,North,2023-10-02
CUST100049,37,Male,Delhi,West,2021-01-18
CUST100050,45,Other,Chennai,South,2022-03-21
CUST100051,64,Other,Hyderabad,North,2023-08-04
CUST100052,24,Female,Mumbai,South,2022-01-17
CUST100053,61,Female,Kolkata,South,2022-08-16
CUST100054,25,Male,Hyderabad,East,2022-11-22
CUST100055,64,Other,Pune,East,2020-04-04
CUST100056,52,Other,Kolkata,North,2022-10-16
CUST100057,31,Male,Delhi,North,2020-07-23
CUST100058,34,Male,Mumbai,East,2022-04-13
CUST100059,53,Female,Bangalore,North,2020-01-30
CUST100060,57,Female,Hyderabad,North,2020-09-22
CUST100061,21,Male,Kolkata,East,2020-01-23
CUST100062,19,Male,Pune,South,2021-08-31
CUST100063,23,Other,Hyderabad,North,2020-02-08
CUST100064,59,Male,Mumbai,West,2020-06-21
CUST100065,21,Male,Mumbai,East,2022-01-29
CUST100066,46,Other,Delhi,North,2023-12-07
CUST100067,35,Male,Pune,North,2021-02-17
CUST100068,43,Female,Mumbai,East,2021-11-22
CUST100069,61,Female,Mumbai,West,2021-09-06
CUST100070,51,Other,Bangalore,West,2020-07-27
CUST100071,27,Male,Delhi,East,2020-01-22
CUST100072,53,Female,Delhi,West,2020-01-05
CUST100073,31,Female,Pune,North,2021-10-12
CUST100074,48,Female,Mumbai,West,2020-08-01
CUST100075,32,Female,Bangalore,North,2022-07-08
CUST100076,25,Male,Chennai,South,2022-06-25
CUST100077,31,Male,Kolkata,West,2023-03-08
CUST100078,40,Male,Hyderabad,South,2021-11-02
CUST100079,57,Male,Delhi,East,2021-10-28
CUST100080,38,Female,Bangalore,West,2022-03-10
CUST100081,33,Other,Pune,North,2020-11-12
CUST100082,62,Other,Bangalore,West,2022-03-03
CUST100083,35,Female,Mumbai,East,2021-07-29
CUST100084,64,Female,Kolkata,East,2023-03-25
CUST100085,41,Other,Delhi,North,2023-12-18
CUST100086,43,Other,Chennai,West,2020-03-31
CUST100087,42,Female,Mumbai,South,2022-12-01
CUST100088,62,Female,Delhi,East,2022-01-30
CUST100089,58,Male,Hyderabad,East,2023-08-11
CUST100090,46,Male,Pune,North,2022-02-08
CUST100091,32,Other,Delhi,West,2023-09-22
CUST100092,62,Female,Bangalore,South,2020-01-01
CUST100093,18,Other,Hyderabad,West,2020-04-18
CUST100094,42,Male,Kolkata,West,2022-07-16
CUST100095,24,Male,Chennai,South,2023-02-22
CUST100096,26,Other,Kolkata,North,2022-12-23
CUST100097,41,Male,Bangalore,East,2020-07-24
CUST100098,18,Female,Chennai,North,2023-12-09
CUST100099,61,Other,Chennai,North,2022-04-29
CUST100100,25,Female,Mumbai,West,2023-06-21
CUST100101,41,Female,Chennai,South,2021-08-12
CUST100102,28,Male,Delhi,East,2021-09-14
CUST100103,34,Female,Kolkata,West,2023-05-24
CUST100104,25,Other,Pune,East,2022-08-22
CUST100105,52,Female,Pune,West,2022-08-22
CUST100106,52,Female,Kolkata,South,2021-10-14
CUST100107,50,Female,Mumbai,East,2023-11-04
CUST100108,22,Female,Chennai,East,2020-03-19
CUST100109,59,Female,Bangalore,North,2021-02-18
CUST100110,56,Male,Hyderabad,West,2024-01-16
CUST100111,58,Other,Hyderabad,West,2023-03-18
CUST100112,45,Male,Delhi,West,2021-09-30
CUST100113,24,Other,Mumbai,North,2022-03-01
CUST100114,26,Other,Hyderabad,North,2022-11-27
CUST100115,25,Other,Chennai,East,2023-03-26
CUST100116,29,Other,Pune,West,2020-11-28
CUST100117,51,Other,Bangalore,West,2020-10-14
CUST100118,50,Female,Chennai,East,2023-02-09
CUST100119,40,Male,Mumbai,East,2023-01-19
CUST100120,41,Male,Bangalore,East,2022-12-08
CUST100121,54,Female,Hyderabad,South,2020-06-09
